, eval92 ,,, eval93 ,,, dev93 ,,, swbd.0 ,,
          , wsj , fish , fish_ng , wsj , fish , fish_ng , wsj , fish , fish_ng , wsj , fish , fish_ng 
 4k   ,8.84,12.93,15.18,13.19,18.1,21.28,11.99,17.22,20.03,98.39,98.49, 98.31* 
 5k   ,8.02,12.14,14.19,11.67,16.58,19.62,10.84,15.59,18.6,96.26,94.98, 94.76* 
 10k  ,6.56,9.23,10.75,9.03,12.7,14.65,9.29,12.73,14.31,90.18,87.75, 86.95* 
 15k  ,6.19,8.98,10.09,7.6,11.82,13.82,8.53,11.88,13.65,89.14,86.59, 85.98* 
 20k  ,5.98,8.86,9.82,7.23,10.73,12.56,8.35,11.59,13.11,87.19,84.25, 83.74* 
 25k  ,5.81,8.49,9.65,7.2,10.38,11.9,8.16,11.48,12.81,76.84,73.89, 72.96* 
 30k  ,5.91,8.32,9.46,7.03,10.12,11.67,8.04,10.86,12.55,83.46,82.06, 79.91* 
 37k  ,5.98, -     , -     ,7.34, -     , -     ,7.99, -     , -     ,80.51, -     , -     
